ds,trend,cap,floor,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,ingressi_ti_lag3,ingressi_ti_lag3_lower,ingressi_ti_lag3_upper,nuovi_pos_lag6,nuovi_pos_lag6_lower,nuovi_pos_lag6_upper,ricoverati_con_sintomi_lag3,ricoverati_con_sintomi_lag3_lower,ricoverati_con_sintomi_lag3_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,pct_occ,over70,over80,over85
2020-12-09 17:00:00,195.68804060030763,1200,0,715.6388969379934,799.1593322081485,195.68804060030763,195.68804060030763,561.3135322553107,561.3135322553107,561.3135322553107,555.199403796358,555.199403796358,555.199403796358,43.82166817794765,43.82166817794765,43.82166817794765,1.3640133530406904,1.3640133530406904,1.3640133530406904,510.0137222653696,510.0137222653696,510.0137222653696,6.1141284589527,6.1141284589527,6.1141284589527,0.0,0.0,0.0,757.0015728556184,63.08346440463487,False,False,False
2020-12-10 17:00:00,195.38395380120946,1200,0,648.7633271821808,735.224697637732,195.38395380120946,195.38395380120946,494.9849828398115,494.9849828398115,494.9849828398115,492.2106857119847,492.2106857119847,492.2106857119847,39.569330731251085,39.569330731251085,39.569330731251085,3.849412286146456,3.849412286146456,3.849412286146456,448.7919426945872,448.7919426945872,448.7919426945872,2.77429712782682,2.77429712782682,2.77429712782682,0.0,0.0,0.0,690.3689366410209,57.53074472008508,False,False,False
2020-12-17 17:00:00,193.265996308754,1200,0,561.6123476252474,643.160287043264,193.265996308754,193.265996308754,408.7319894807949,408.7319894807949,408.7319894807949,405.95769235296876,405.95769235296876,405.95769235296876,26.812318391161373,26.812318391161373,26.812318391161373,5.651399526717852,5.651399526717852,5.651399526717852,373.4939744350895,373.4939744350895,373.4939744350895,2.7742971278261215,2.7742971278261215,2.7742971278261215,0.0,0.0,0.0,601.9979857895489,50.16649881579575,False,False,False
2020-12-19 17:00:00,192.66428301845963,1200,0,588.3216058246478,670.8608339430363,192.66428301845963,192.66428301845963,436.685397041093,436.685397041093,436.685397041093,440.5027715584022,440.5027715584022,440.5027715584022,82.09270519821678,82.09270519821678,82.09270519821678,-0.3328336271408017,-0.3328336271408017,-0.3328336271408017,358.7428999873262,358.7428999873262,358.7428999873262,-3.8173745173091604,-3.8173745173091604,-3.8173745173091604,0.0,0.0,0.0,629.3496800595526,52.44580667162938,False,False,False
2020-12-20 17:00:00,192.36399496151273,1200,0,491.63485437172966,579.8991495407199,192.36399496151273,192.36399496151273,341.1602620443878,341.1602620443878,341.1602620443878,348.75788754896024,348.75788754896024,348.75788754896024,18.307643497768236,18.307643497768236,18.307643497768236,0.43819494905182127,0.43819494905182127,0.43819494905182127,330.01204910214017,330.01204910214017,330.01204910214017,-7.597625504572393,-7.597625504572393,-7.597625504572393,0.0,0.0,0.0,533.5242570059006,44.46035475049172,False,False,False
2020-12-27 17:00:00,190.2725735558268,1200,0,424.8463314474648,511.74826147258347,190.2725735558268,190.2725735558268,278.1299468428219,278.1299468428219,278.1299468428219,285.72757234739083,285.72757234739083,285.72757234739083,18.307643497768236,18.307643497768236,18.307643497768236,0.6543165954088443,0.6543165954088443,0.6543165954088443,266.76561225421375,266.76561225421375,266.76561225421375,-7.597625504569005,-7.597625504569005,-7.597625504569005,0.0,0.0,0.0,468.4025203986487,39.033543366554056,False,False,False
2020-12-29 17:00:00,189.6784240487278,1200,0,441.66546214898705,527.2571942467837,189.6784240487278,189.6784240487278,292.94434952412473,292.94434952412473,292.94434952412473,289.3828351730086,289.3828351730086,289.3828351730086,22.559980944464805,22.559980944464805,22.559980944464805,3.7209075234476856,3.7209075234476856,3.7209075234476856,263.1019467050961,263.1019467050961,263.1019467050961,3.5615143511161564,3.5615143511161564,3.5615143511161564,0.0,0.0,0.0,482.62277357285257,40.21856446440438,False,False,False
2020-12-30 17:00:00,189.38191485073918,1200,0,489.3496026549208,570.4966143281098,189.38191485073918,189.38191485073918,344.3844522222255,344.3844522222255,344.3844522222255,338.2703237632631,338.2703237632631,338.2703237632631,84.21887392156506,84.21887392156506,84.21887392156506,7.050349102461284,7.050349102461284,7.050349102461284,247.00110073923676,247.00110073923676,247.00110073923676,6.114128458962396,6.114128458962396,6.114128458962396,0.0,0.0,0.0,533.7663670729646,44.48053058941372,False,False,False
2021-01-01 17:00:00,188.79002653206967,1200,0,425.88865914107635,510.7051983804452,188.79002653206967,188.79002653206967,280.0516748657753,280.0516748657753,280.0516748657753,284.5022139596252,284.5022139596252,284.5022139596252,33.19082456120623,33.19082456120623,33.19082456120623,5.94929693115591,5.94929693115591,5.94929693115591,245.36209246726307,245.36209246726307,245.36209246726307,-4.450539093849924,-4.450539093849924,-4.450539093849924,0.0,0.0,0.0,468.841701397845,39.07014178315375,False,False,False
2021-01-02 17:00:00,188.49464699554377,1200,0,380.1597827203352,467.4136862778196,188.49464699554377,188.49464699554377,235.70217594847045,235.70217594847045,235.70217594847045,239.5195504657627,239.5195504657627,239.5195504657627,16.181474774419954,16.181474774419954,16.181474774419954,3.525229816610922,3.525229816610922,3.525229816610922,219.81284587473183,219.81284587473183,219.81284587473183,-3.8173745172922473,-3.8173745172922473,-3.8173745172922473,0.0,0.0,0.0,424.19682294401423,35.34973524533452,False,False,False
