ds,yhat,yhat_lower,yhat_upper,pct_occ,over70,over80,over85
2021-03-21 17:00:00,815.3052573151642,772.2580789415024,859.7437263607832,67.94210477626369,False,False,False
2021-03-23 17:00:00,793.4624001636811,748.9014433529433,837.0825014378077,66.12186668030677,False,False,False
2021-03-24 17:00:00,897.6908582251244,853.4672611011762,936.9611423081836,74.80757151876037,True,False,False
2021-03-26 17:00:00,874.017537366998,830.9010587462362,916.3948670682296,72.83479478058317,True,False,False
2021-04-03 17:00:00,833.1891450128171,789.3181575272922,874.2447581081519,69.43242875106809,False,False,False
2021-04-04 17:00:00,790.5931653179107,747.5517109907175,832.0846393946422,65.88276377649255,False,False,False
2021-04-12 17:00:00,695.3346796481329,648.8420789323274,738.7607425719129,57.94455663734441,False,False,False
2021-04-14 17:00:00,636.5481489681697,596.1616433174564,676.7256417982865,53.045679080680806,False,False,False
2021-04-15 17:00:00,656.1309274388387,613.894986629722,696.7041821901645,54.67757728656989,False,False,False
2021-04-17 17:00:00,617.6684660073513,576.433983537009,657.4155847162259,51.47237216727928,False,False,False
2021-04-18 17:00:00,541.7253907624021,501.8078089185426,584.5024238883645,45.143782563533506,False,False,False
2021-04-20 17:00:00,545.6805493551992,502.6266436769144,593.3914503437178,45.47337911293327,False,False,False
2021-05-05 17:00:00,420.4048147574131,376.0038716987774,461.04671516720555,35.03373456311776,False,False,False
2021-05-06 17:00:00,399.1003167416991,357.85000670824,440.96970091108597,33.25835972847492,False,False,False
2021-05-08 17:00:00,382.39017520522964,337.1250331369576,424.0475930989217,31.865847933769135,False,False,False
2021-05-12 17:00:00,312.6525698745978,270.8239477192111,353.0933801629981,26.05438082288315,False,False,False
2021-05-13 17:00:00,319.1153565723988,280.2485957114284,361.776255539088,26.592946381033233,False,False,False
2021-05-26 17:00:00,217.0549179930685,174.27423345262878,257.03840451074745,18.08790983275571,False,False,False
2021-06-02 17:00:00,160.527986134207,116.05973935642399,203.52434124627078,13.377332177850585,False,False,False
2021-06-10 17:00:00,120.87400862305205,80.6368761351913,164.2097869894742,10.072834051921003,False,False,False
2021-06-11 17:00:00,107.97233710499498,64.79360491740105,148.65413728016935,8.997694758749581,False,False,False
2021-06-20 17:00:00,67.85887206783104,25.675187239983394,109.28838155375162,5.654906005652587,False,False,False
2021-06-22 17:00:00,79.26973710657391,37.35632477114469,120.74025155540005,6.605811425547826,False,False,False
2021-07-02 17:00:00,51.34535269155782,8.871401356778346,94.11808529462877,4.278779390963152,False,False,False
2021-07-04 17:00:00,44.92071712576228,-0.2809450073573814,84.2511822983842,3.7433930938135234,False,False,False
2021-07-05 17:00:00,57.80919645760986,14.214906389920271,100.1488999350716,4.817433038134155,False,False,False
2021-07-07 17:00:00,54.967867465828476,13.26697516910028,97.98013499301464,4.580655622152372,False,False,False
2021-07-09 17:00:00,41.05802663976728,-1.1778483098550152,82.1265451937847,3.4215022199806064,False,False,False
2021-07-11 17:00:00,36.52754643380676,-7.757134460786762,80.2551165717852,3.04396220281723,False,False,False
2021-07-15 17:00:00,46.72448119661536,4.864610996896648,90.16712879348145,3.893706766384613,False,False,False
2021-08-10 17:00:00,60.0405232454207,18.605440445142758,100.15773202621558,5.003376937118391,False,False,False
2021-08-17 17:00:00,57.9673895279568,15.205721855249756,97.41188732045445,4.8306157939964,False,False,False
2021-08-31 17:00:00,66.7573629667516,23.321923383334557,112.31358185389922,5.563113580562633,False,False,False
2021-09-02 17:00:00,63.6188003702047,21.907907049009893,109.52763474894334,5.301566697517059,False,False,False
2021-09-06 17:00:00,74.59534233731637,30.554048606903585,117.52173221993637,6.216278528109697,False,False,False
2021-09-13 17:00:00,70.56398042978215,29.965495472500738,114.0770115255986,5.880331702481845,False,False,False
2021-09-15 17:00:00,75.78166056527844,31.8928920086699,118.81415933918107,6.315138380439871,False,False,False
2021-09-16 17:00:00,70.48251914692455,25.723504076801735,112.94484022106381,5.873543262243712,False,False,False
2021-09-18 17:00:00,58.22543465225334,14.559959013627022,99.08583022633455,4.852119554354445,False,False,False
2021-10-01 17:00:00,50.259953075507426,8.76337660087653,92.8458878995394,4.188329422958952,False,False,False
2021-10-03 17:00:00,43.64664295849791,1.975631845557026,86.16975145356263,3.6372202465414922,False,False,False
2021-10-04 17:00:00,55.38893695071921,14.001448310404085,97.94703185242163,4.615744745893268,False,False,False
